id,question_text,question_type,options,correct_answers,difficulty
38,"A = {1,2,3}, B = {3,4,5}. Чему равно A ∪ B?",single,"{1,2,3,4,5}||{3}||{1,2}||∅,{1,2,3,4,5}",medium
39,"A = {2,4,6}, B = {4,5,6}. Чему равно A ∩ B?",single,"{4,6}||{2,4,5,6}||{2}||∅,{4,6}",medium
40,"A = {1,3,5}, B = {2,4}. Чему равно A ∖ B?",single,"{1,3,5}||{2,4}||∅||{1,2,3,4,5},{1,3,5}",medium
41,"A = {a,b}, B = {c}. Чему равно A × B?",single,"{(a,c),(b,c)}||{a,b,c}||∅||{c},{(a,c),(b,c)}",medium
42,"Какова мощность множества P({1,2})?",single,"3||4||2||1,4",medium
43,"Мощность множества A = {x | x² = 4, x ∈ ℤ}?",single,"2||1||3||4,2",medium
44,"Верно ли, что ∅ ∈ {∅}?",single,"Да||Нет,Да",hard
45,"Верно ли, что {∅} ⊆ ∅?",single,Нет||Да,Нет,hard
46,"Сколько элементов в P(P(∅))?",single,2||1||4||3,2,hard
47,"Если A = {1,3,5}, B = {2,3}, чему равно A Δ B?",single,"{1,2,5}||{3}||{1,2,3,5}||∅,{1,2,5}",medium
48,"Что такое декартово произведение?",single,Множество упорядоченных пар||Объединение||Пересечение||Дополнение,Множество упорядоченных пар,medium
49,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
50,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
51,Какие свойства справедливы для объединения множеств?,multiple,ассоциативность||антисимметричность||коммутативность||иррефлексивность,ассоциативность||коммутативность,hard
52,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
53,Какие свойства справедливы для объединения множеств?,multiple,ассоциативность||антисимметричность||коммутативность||иррефлексивность,ассоциативность||коммутативность,hard
54,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
55,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
56,Какие свойства справедливы для объединения множеств?,multiple,ассоциативность||антисимметричность||коммутативность||иррефлексивность,ассоциативность||коммутативность,hard
57,Какие свойства справедливы для объединения множеств?,multiple,ассоциативность||антисимметричность||коммутативность||иррефлексивность,ассоциативность||коммутативность,hard
58,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
59,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
60,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
61,Какие свойства справедливы для объединения множеств?,multiple,ассоциативность||антисимметричность||коммутативность||иррефлексивность,ассоциативность||коммутативность,hard
62,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
63,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
64,Какие свойства справедливы для объединения множеств?,multiple,ассоциативность||антисимметричность||коммутативность||иррефлексивность,ассоциативность||коммутативность,hard
65,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
66,Какие свойства справедливы для объединения множеств?,multiple,ассоциативность||антисимметричность||коммутативность||иррефлексивность,ассоциативность||коммутативность,hard
67,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
68,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
69,"Какие из следующих множеств являются подмножествами {1,2,3}?",multiple,"{1,2}||{2,3}||{3,4}||{1,2,3}","{1,2}||{1,2,3}",hard
70,Какие свойства справедливы для объединения множеств?,multiple,ассоциативность||антисимметричность||коммутативность||иррефлексивность,ассоциативность||коммутативность,hard
71,"Выберите все пары множеств, для которых A ⊆ B: A = {1, 2}, B = {1, 2, 3}; A = {1, 4}, B = {1, 2, 3}; A = {}, B = {5}",multiple,"A ⊆ B (пара 1)||A ⊆ B (пара 2)||A ⊆ B (пара 3)","A ⊆ B (пара 1)||A ⊆ B (пара 3)",medium
72,"Какие свойства верны для симметрической разности множеств A и B?",multiple,"коммутативность||ассоциативность||идемпотентность||рефлексивность","коммутативность||ассоциативность",hard
73,"Выберите все множества, которые пересекаются с {2,4,6}:",multiple,"{1,3,5}||{2,3,5}||{4,5,6}||{7,8,9}","{2,3,5}||{4,5,6}",medium
74,"Какие из приведённых равенств являются тождествами множеств?",multiple,"A ∪ ∅ = A||A ∩ ∅ = A||A ∩ A = A||A ∪ A = A","A ∪ ∅ = A||A ∩ A = A||A ∪ A = A",medium
75,"Укажите все свойства операции пересечения множеств:",multiple,"ассоциативность||коммутативность||дистрибутивность||антисимметричность","ассоциативность||коммутативность||дистрибутивность",hard
76,"Какие утверждения верны для любых множеств A и B?",multiple,"A ⊆ A ∪ B||A ∩ B ⊆ A||A ∪ B ⊆ A||A ⊆ B","A ⊆ A ∪ B||A ∩ B ⊆ A",medium
77,"Какие пары множеств являются дизъюнктными?",multiple,"{1,2} и {2,3}||{3,4} и {5,6}||{0} и {1,2}||{7,8} и {8,9}","{3,4} и {5,6}||{0} и {1,2}",medium
78,"Выберите все множества, которые являются собственными подмножествами множества {1,2,3}:",multiple,"{1,2}||{2,3}||{1,2,3}||{}","{1,2}||{2,3}||{}",medium
79,"Какие свойства относятся к операции разности A \ B?",multiple,"невозвратность||неассоциативность||необратимость||коммутативность","невозвратность||неассоциативность||необратимость",hard
80,"Выберите все операции, которые приводят к пустому множеству:",multiple,"A ∩ ∅||A \ A||A ∩ A||A ∩ B (если A ∩ B = ∅)","A ∩ ∅||A \ A||A ∩ B (если A ∩ B = ∅)",medium
81,"Если A = {2,4}, B = {3,4}, чему равно A ∩ B?",single,"{4}||{2,3}||∅||{2,3,4},{4}",medium
82,"Как называется множество всех подмножеств?",single,"Булеан||Универсум||Декартово произведение||Дополнение,Булеан",medium
83,"Дано: A = {x | x ∈ ℕ, x < 5}. Сколько элементов в A?",single,5||4||6||3,4,easy
84,"Какое множество является дополнением A = {1,3} в U = {1,2,3,4}?",single,"{2,4}||{1,3}||∅||{1,2,3,4},{2,4}",medium
85,"Чему равно A ∪ ∅, если A = {a,b}?",single,"{a,b}||∅||{a}||{b},{a,b}",easy
86,"Верно ли, что {1} ∈ {1,2,3}?",single,Нет||Да,Нет,hard
87,"Сколько элементов в множестве A × B, если A = {1,2}, B = {a}?",single,2||3||1||4,2,medium
88,"Какое из свойств НЕ выполняется для пересечения множеств?",single,Ассоциативность||Коммутативность||Идемпотентность||Дистрибутивность,Дистрибутивность,hard
89,"Если A ⊆ B и B ⊆ C, то...",single,A ⊆ C||C ⊆ A||A = C||Нет верного ответа,A ⊆ C,medium
90,"Какое множество является симметрической разностью A = {1,2} и B = {2,3}?",single,"{1,3}||{2}||{1,2,3}||∅,{1,3}",medium
